time_unit,real_y,synth_y
2021-01-01,5.3,5.349995086847088
2021-02-01,4.8,4.884370484488253
2021-03-01,4.7,4.718745675114313
2021-04-01,4.5,4.515620586271373
2021-05-01,4.4,4.3812456026604165
2021-06-01,5,5.01249501439319
2021-07-01,4.8,4.746870274024285
2021-08-01,4.6,4.546870412034355
2021-09-01,4.2,4.115620862291512
2021-10-01,3.9,3.8499961219226075
2021-11-01,3.7,3.618746434169694
2021-12-01,3.1,3.15312183181086
2022-01-01,3.9,3.749996190927642
2022-02-01,3.3,3.3187466411847986
2022-03-01,3,3.018746848199903
2022-04-01,2.8,2.7531221078309986
2022-05-01,2.9,2.818746986209972
2022-06-01,3.3,3.284371588568807
2022-07-01,3.2,3.0843717265788766
2022-08-01,3.2,3.1499966049578503
2022-09-01,3,2.9531219698209292
2022-10-01,4.7,2.9531219698209292
2022-11-01,4.2,2.8531220388259637
2022-12-01,3.4,2.5218724200780858
2023-01-01,3.5,2.9531219698209292
2023-02-01,3.2,2.8531220388259637
2023-03-01,3.1,2.7531221078309986
2023-04-01,2.7,2.4874973674620944
2023-05-01,3.1,2.7531221078309986
2023-06-01,3.4,3.215621483336824
2023-07-01,3.4,3.2499965359528153
2023-08-01,3.6,3.4156213453267545
2023-09-01,3.5,3.349996466947781
2023-10-01,3.5,3.2499965359528153
2023-11-01,3.3,3.0843717265788766
2023-12-01,3.1,2.9499967429679192
