time_unit,real_y,synth_y
2021-01-01,5.3,5.300004297741671
2021-02-01,4.8,4.8644593185215514
2021-03-01,4.7,4.619161252268739
2021-04-01,4.5,4.3369881440735965
2021-05-01,4.4,4.15290252530178
2021-06-01,5,4.929294939294434
2021-07-01,4.8,4.755838625957381
2021-08-01,4.6,4.558499775492025
2021-09-01,4.2,4.102141653615413
2021-10-01,3.9,3.8702655095782412
2021-11-01,3.7,3.6163554485348617
2021-12-01,3.1,3.155586418049141
2022-01-01,3.9,3.8842746370274677
2022-02-01,3.3,3.3751121190936524
2022-03-01,3,3.0750066540978165
2022-04-01,2.8,2.7770924266900963
2022-05-01,2.9,2.856233603867144
2022-06-01,3.3,3.367428644937768
2022-07-01,3.2,3.252339344675361
2022-08-01,3.2,3.2000063868189694
2022-09-01,3,3.0101248999142465
2022-10-01,4.7,3.002646533983495
2022-11-01,4.2,2.934337081667925
2022-12-01,3.4,2.5465849202946336
2023-01-01,3.5,3.0037997133080117
2023-02-01,3.2,2.8503455931542705
2023-03-01,3.1,2.8396123861172597
2023-04-01,2.7,2.4695573442930012
2023-05-01,3.1,2.8568646514217133
2023-06-01,3.4,3.29353825407533
2023-07-01,3.4,3.420541053943515
2023-08-01,3.6,3.5728327471569292
2023-09-01,3.5,3.37145438640769
2023-10-01,3.5,3.4046195182591164
2023-11-01,3.3,3.2666472046817923
2023-12-01,3.1,3.0911284810920927
