time_unit,real_y,synth_y
2021-01-01,5.3,5.299999603219407
2021-02-01,4.8,4.83665780710353
2021-03-01,4.7,4.65264500601294
2021-04-01,4.5,4.465265192887131
2021-05-01,4.4,4.302163497756311
2021-06-01,5,4.951442187952413
2021-07-01,4.8,4.714543790948529
2021-08-01,4.6,4.537138911946551
2021-09-01,4.2,4.112379527872809
2021-10-01,3.9,3.850961870813918
2021-11-01,3.7,3.626202532807528
2021-12-01,3.1,3.162860736691651
2022-01-01,3.9,3.8000003678902576
2022-02-01,3.3,3.3507217237615086
2022-03-01,3,3.075240914715488
2022-04-01,2.8,2.787379904611955
2022-05-01,2.9,2.8507216085931284
2022-06-01,3.3,3.3121393117193723
2022-07-01,3.2,3.1385826186966623
2022-08-01,3.2,3.200000229688202
2022-09-01,3,2.98930404366894
2022-10-01,4.7,2.9873799506793066
2022-11-01,4.2,2.913823280690272
2022-12-01,3.4,2.562620566605566
2023-01-01,3.5,3.0383425637789565
2023-02-01,3.2,2.93834254074528
2023-03-01,3.1,2.840266610701238
2023-04-01,2.7,2.5524056005977047
2023-05-01,3.1,2.8176714436358634
2023-06-01,3.4,3.265266026659009
2023-07-01,3.4,3.3019243457115115
2023-08-01,3.6,3.5143045928363765
2023-09-01,3.5,3.452886981844837
2023-10-01,3.5,3.379330311855803
2023-11-01,3.3,3.215988584840953
2023-12-01,3.1,3.0793302427547746
